Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EUR,NOR,Norway,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,OMN,Oman,HepB_BD,99,99,99,99,99,99,99,99,99,99,99,99,99,97,97,99,,,,,,,,,,,,,,,,,,,,
EMR,PAK,Pakistan,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,PLW,Palau,HepB_BD,99,99,99,99,99,99,99,67,99,98,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
AMR,PAN,Panama,HepB_BD,85,84,79,87,93,89,78,80,83,79,75,85,57,30,2,,,,,,,,,,,,,,,,,,,,,
WPR,PNG,Papua New Guinea,HepB_BD,32,31,37,35,31,31,26,27,29,35,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,PRY,Paraguay,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,PER,Peru,HepB_BD,79,78,82,81,76,74,71,79,73,66,67,68,60,,,,,,,,,,,,,,,,,,,,,,,
WPR,PHL,Philippines (the),HepB_BD,56,54,44,35,40,37,34,21,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,POL,Poland,HepB_BD,93,93,93,93,93,93,93,93,93,93,93,93,92,94,94,95,,,,,,,,,,,,,,,,,,,,
EUR,PRT,Portugal,HepB_BD,97,98,98,97,97,96,95,95,95,91,86,86,84,99,82,64,,,,,,,,,,,,,,,,,,,,
EMR,QAT,Qatar,HepB_BD,95,92,96,95,96,99,94,94,93,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
WPR,KOR,Republic of Korea (the),HepB_BD,93,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,MDA,Republic of Moldova (the),HepB_BD,96,96,95,99,99,98,98,99,99,99,99,99,99,99,91,93,,,,,,,,,,,,,,,,,,,,
