Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EUR,MLT,Malta,DTP1,98,99,99,99,99,97,91,88,84,85,94,92,96,95,98,97,97,97,97,97,97,96,94,94,95,84,72,95,95,95,62,74,,,,
WPR,MHL,Marshall Islands (the),DTP1,95,97,97,97,99,99,99,99,99,90,89,71,90,90,99,64,85,95,92,92,88,86,79,94,88,97,97,97,,,,,,,,
AFR,MRT,Mauritania,DTP1,87,88,95,95,91,82,79,88,92,85,85,83,91,96,76,73,70,56,69,89,93,88,82,76,65,69,63,62,55,57,52,45,44,44,41,
AFR,MUS,Mauritius,DTP1,98,97,99,99,99,99,99,99,97,99,99,98,99,96,92,88,91,93,96,96,97,96,96,96,97,95,95,95,94,95,96,95,96,97,94,96
AMR,MEX,Mexico,DTP1,99,95,90,99,99,96,98,98,99,99,99,99,99,99,99,99,99,98,98,98,97,97,94,96,96,77,85,82,83,75,65,76,66,65,68,69
WPR,FSM,Micronesia (Federated States of),DTP1,95,97,98,97,96,90,97,87,86,83,98,81,97,87,90,92,92,91,91,92,94,93,92,97,92,95,98,95,80,,,,,,,
EUR,MCO,Monaco,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,99,99,99,,,,,,,,
WPR,MNG,Mongolia,DTP1,99,99,98,99,99,98,95,98,95,99,99,99,98,99,95,95,95,96,97,96,96,92,93,93,93,94,94,94,93,93,93,91,92,92,92,91
EUR,MNE,Montenegro,DTP1,96,97,98,98,98,97,96,98,98,95,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,MAR,Morocco,DTP1,99,99,99,99,99,99,99,99,98,99,99,99,94,98,97,98,93,99,99,91,94,92,90,95,93,93,93,94,95,84,75,70,66,57,,
AFR,MOZ,Mozambique,DTP1,90,92,93,91,91,91,89,87,85,86,87,88,89,88,86,84,82,80,78,76,75,74,73,74,71,71,72,63,64,57,54,57,63,68,79,
SEAR,MMR,Myanmar,DTP1,90,90,90,89,88,93,93,88,89,86,76,86,80,81,81,87,87,92,96,96,94,91,96,95,94,96,74,53,47,44,39,33,32,29,24,22
AFR,NAM,Namibia,DTP1,98,92,94,89,88,87,87,88,88,91,93,88,87,86,88,90,90,88,86,88,90,92,90,88,87,,,,,,,,,,,
WPR,NRU,Nauru,DTP1,98,99,99,98,99,99,99,99,99,98,90,93,97,99,98,85,81,78,74,77,79,82,84,86,88,90,91,86,78,82,86,86,,,,
SEAR,NPL,Nepal,DTP1,94,94,94,90,96,85,94,84,85,93,81,88,82,84,84,84,91,92,92,85,77,77,75,73,71,68,69,70,71,63,57,52,47,41,39,28
EUR,NLD,Netherlands (the),DTP1,98,98,99,99,99,99,99,99,99,98,98,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
WPR,NZL,New Zealand,DTP1,93,93,93,94,95,95,94,91,91,92,92,91,91,90,96,96,91,93,95,96,96,94,94,93,93,96,93,87,86,88,89,94,90,90,89,91
AMR,NIC,Nicaragua,DTP1,99,99,99,99,99,99,99,99,94,94,92,80,86,88,92,97,96,94,93,93,93,93,93,93,91,88,87,72,75,70,64,58,48,52,47,39
AFR,NER,Niger (the),DTP1,85,89,87,87,86,83,81,76,68,63,58,56,53,51,48,46,43,44,45,44,42,41,39,38,36,46,35,29,27,24,22,24,24,25,25,
AFR,NGA,Nigeria,DTP1,70,64,58,51,56,60,73,63,52,49,48,46,45,43,42,42,41,48,70,51,59,69,54,68,64,79,72,61,54,46,39,29,,,,
WPR,NIU,Niue,DTP1,99,99,99,99,99,99,99,99,98,99,94,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,93,83,68,56,44,28,27
EUR,NOR,Norway,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,97,98,98,95,94,94,93,94,95,96,96,,,
EMR,OMN,Oman,DTP1,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,98,98,99,98,98,98,96,96,94,82,70,56,48,42,41
EMR,PAK,Pakistan,DTP1,79,79,79,79,84,88,88,84,89,89,81,75,77,77,75,72,70,67,65,62,73,64,62,67,74,77,65,63,61,59,55,47,37,24,21,20
WPR,PLW,Palau,DTP1,99,99,99,99,99,99,99,99,99,98,98,99,99,99,98,98,96,96,97,98,99,86,96,97,98,99,92,99,93,98,,,,,,
AMR,PAN,Panama,DTP1,96,96,93,99,98,96,95,93,97,96,95,98,99,99,99,99,96,99,98,97,95,94,94,91,94,95,88,91,89,88,90,81,82,82,92,72
WPR,PNG,Papua New Guinea,DTP1,83,87,88,85,83,80,80,70,76,85,80,81,88,81,77,84,82,85,87,80,97,91,93,82,93,97,77,72,69,69,65,59,52,54,57,57
AMR,PRY,Paraguay,DTP1,99,98,93,96,96,96,94,96,99,99,97,94,95,95,96,95,85,88,91,89,87,88,86,90,86,86,82,79,80,77,80,86,70,59,53,40
AMR,PER,Peru,DTP1,97,98,97,99,94,97,97,97,93,96,94,93,98,98,91,99,99,94,96,97,96,95,95,94,88,89,80,82,68,74,72,53,47,47,44,39
WPR,PHL,Philippines (the),DTP1,69,86,98,90,85,81,89,94,90,90,91,92,86,84,92,92,91,91,90,82,76,81,86,91,96,96,95,92,90,86,81,80,78,77,77,72
EUR,POL,Poland,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,97,98,98,98,98,98
EUR,PRT,Portugal,DTP1,99,99,99,99,97,99,97,99,99,99,94,98,99,98,99,99,98,98,97,98,97,98,97,97,98,96,96,93,94,93,89,92,92,92,91,90
EMR,QAT,Qatar,DTP1,99,99,99,94,94,98,99,97,96,99,99,99,96,96,95,92,94,95,97,97,97,97,96,96,95,94,93,87,89,89,88,82,73,62,68,82
WPR,KOR,Republic of Korea (the),DTP1,99,99,99,99,99,96,96,95,95,98,98,95,97,97,97,97,96,94,93,96,99,97,96,94,92,90,96,80,80,91,91,91,87,82,82,
EUR,MDA,Republic of Moldova (the),DTP1,88,94,96,97,96,93,88,96,95,97,98,99,99,99,97,98,99,99,98,98,98,95,88,94,,,,,,,,,,,,
EUR,ROU,Romania,DTP1,96,98,97,97,96,98,98,98,98,99,99,99,99,99,99,99,99,99,99,98,98,98,97,98,98,98,98,98,97,96,98,,,,,
EUR,RUS,Russian Federation (the),DTP1,97,97,97,97,97,97,99,99,99,99,99,97,97,97,97,97,97,96,96,94,92,96,92,89,,,,,,,,,,,,
AFR,RWA,Rwanda,DTP1,99,99,99,99,98,98,98,97,99,99,95,94,97,95,94,93,93,92,90,96,94,47,94,95,97,94,94,93,96,95,74,78,81,63,40,
AMR,KNA,Saint Kitts and Nevis,DTP1,96,99,99,99,99,98,99,99,99,99,99,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,98,99,97,98,96,97,86,79
AMR,LCA,Saint Lucia,DTP1,99,99,99,99,99,98,99,99,99,94,99,99,90,99,99,76,96,91,98,96,98,97,98,98,98,96,97,92,95,92,95,94,93,92,84,79
AMR,VCT,Saint Vincent and the Grenadines,DTP1,99,99,99,98,98,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,98,99,99,99,99,98,98,98,98,98,96,95,93,86,57,51
WPR,WSM,Samoa,DTP1,89,88,89,88,91,91,86,48,85,80,87,91,96,99,99,97,97,98,98,98,97,97,97,97,92,96,86,96,97,97,96,98,96,95,86,54
EUR,SMR,San Marino,DTP1,77,82,72,98,90,80,95,89,92,98,98,99,98,96,96,97,99,,99,99,99,96,99,99,99,99,99,99,99,99,99,99,99,,,
AFR,STP,Sao Tome and Principe,DTP1,98,98,99,98,98,98,99,99,99,99,99,99,98,94,97,89,90,89,90,87,92,94,82,87,95,97,84,91,89,85,72,73,51,59,67,
EMR,SAU,Saudi Arabia,DTP1,98,99,98,98,99,98,98,98,97,97,97,96,96,97,99,95,94,95,94,97,98,98,97,97,97,97,98,96,96,95,93,91,86,83,77,66
AFR,SEN,Senegal,DTP1,94,94,96,96,97,96,94,94,97,99,97,95,81,70,79,79,78,79,81,88,93,80,80,77,75,75,72,81,80,77,,,,,,
EUR,SRB,Serbia,DTP1,98,97,98,97,98,97,98,98,98,97,99,91,91,98,95,97,97,97,97,97,96,95,95,94,,,,,,,,,,,,
