Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EUR,MDA,Republic of Moldova (the),RotaC,62,69,65,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ROU,Romania,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,RUS,Russian Federation (the),RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,RWA,Rwanda,RotaC,98,98,98,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,KNA,Saint Kitts and Nevis,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,LCA,Saint Lucia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,VCT,Saint Vincent and the Grenadines,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,WSM,Samoa,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SMR,San Marino,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,STP,Sao Tome and Principe,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SAU,Saudi Arabia,RotaC,95,94,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SEN,Senegal,RotaC,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SRB,Serbia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SYC,Seychelles,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SLE,Sierra Leone,RotaC,85,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,SGP,Singapore,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SVK,Slovakia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SVN,Slovenia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,SLB,Solomon Islands,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SOM,Somalia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZAF,South Africa,RotaC,72,72,64,78,72,66,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SSD,South Sudan,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ESP,Spain,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,LKA,Sri Lanka,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SDN,Sudan (the),RotaC,84,86,80,75,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,SUR,Suriname,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,SWZ,Swaziland,RotaC,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,SWE,Sweden,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,CHE,Switzerland,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,SYR,Syrian Arab Republic (the),RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,TJK,Tajikistan,RotaC,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,THA,Thailand,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,MKD,The former Yugoslav Republic of Macedonia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,TLS,Timor-Leste,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,TGO,Togo,RotaC,85,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,TON,Tonga,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,TTO,Trinidad and Tobago,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,TUN,Tunisia,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,TUR,Turkey,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,TKM,Turkmenistan,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,TUV,Tuvalu,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,UGA,Uganda,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,UKR,Ukraine,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,ARE,United Arab Emirates (the),RotaC,87,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,GBR,United Kingdom of Great Britain and Northern Ireland (the),RotaC,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,TZA,United Republic of Tanzania,RotaC,98,97,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,USA,United States of America (the),RotaC,72,72,73,69,67,59,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,URY,Uruguay,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,UZB,Uzbekistan,RotaC,95,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,VUT,Vanuatu,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,VEN,Venezuela (Bolivarian Republic of),RotaC,84,76,77,76,66,49,54,50,29,13,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,VNM,Viet Nam,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,YEM,Yemen,RotaC,52,57,56,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZMB,Zambia,RotaC,82,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ZWE,Zimbabwe,RotaC,87,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
